;;;;;;;;;;;;;;;;;;
PERSONAL ADMINISTRATIVO EN INSTITUCIONES DE EDUCACIÓN SUPERIOR - COLOMBIA 2020;;;;;;;;;;;;;;;;;;
Fecha de corte de la información: Mayo de 2021;;;;;;;;;;;;;;;;;;
Fuente: Ministerio de Educación Nacional - Sistema Nacional de Información de la Educación Superior - SNIES;;;;;;;;;;;;;;;;;;
La información suministrada corresponde a lo reportado por las Instituciones de Educación Superior a través del SNIES;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Código de la Institución;IES PADRE;Institución de Educación Superior (IES);Principal o Seccional;ID Sector IES;Sector IES;ID Caracter IES;Caracter IES;Código del departamento (IES);Departamento de domicilio de la IES;Código del Municipio (IES);Municipio de domicilio de la IES;Año;Semestre;Auxiliar;Técnico;Profesional;Directivo;Total
1723;1710;UNIVERSIDAD PONTIFICIA BOLIVARIANA;Seccional;2;PRIVADA;4;Universidad;68;Santander;68001;Bucaramanga;2020;1;121;60;84;9;274
1723;1710;UNIVERSIDAD PONTIFICIA BOLIVARIANA;Seccional;2;PRIVADA;4;Universidad;68;Santander;68001;Bucaramanga;2020;2;87;56;86;9;238
1724;1718;UNIVERSIDAD DE SAN BUENAVENTURA;Seccional;2;PRIVADA;4;Universidad;13;Bolívar;13001;Cartagena de Indias;2020;1;73;31;21;27;152
1724;1718;UNIVERSIDAD DE SAN BUENAVENTURA;Seccional;2;PRIVADA;4;Universidad;13;Bolívar;13001;Cartagena de Indias;2020;2;77;31;20;28;156
1725;1725;FUNDACION UNIVERSIDAD AUTONOMA DE COLOMBIA -FUAC-;Principal;2;PRIVADA;4;Universidad;11;Bogotá D.C.;11001;Bogotá, D.C.;2020;1;78;25;50;29;182
1725;1725;FUNDACION UNIVERSIDAD AUTONOMA DE COLOMBIA -FUAC-;Principal;2;PRIVADA;4;Universidad;11;Bogotá D.C.;11001;Bogotá, D.C.;2020;2;70;25;47;29;171
1726;1726;UNIVERSIDAD CATOLICA DE ORIENTE -UCO;Principal;2;PRIVADA;4;Universidad;05;Antioquia;05615;Rionegro;2020;1;94;61;350;38;543
1726;1726;UNIVERSIDAD CATOLICA DE ORIENTE -UCO;Principal;2;PRIVADA;4;Universidad;05;Antioquia;05615;Rionegro;2020;2;89;52;341;38;520
1727;1710;UNIVERSIDAD PONTIFICIA BOLIVARIANA;Seccional;2;PRIVADA;4;Universidad;23;Córdoba;23001;Montería;2020;1;29;70;79;32;210
1727;1710;UNIVERSIDAD PONTIFICIA BOLIVARIANA;Seccional;2;PRIVADA;4;Universidad;23;Córdoba;23001;Montería;2020;2;27;61;62;27;177
