"codigo.de..la.institucion","ies.padre","institucion.de.educacion.superior..ies.","principal..o.seccional","id.sector.ies","sector.ies","id.caracter.ies","caracter.ies","codigo.del..departamento..ies.","departamento.de..domicilio.de.la.ies","codigo.del..municipio..ies.","municipio.de.domicilio.de.la.ies","ano","semestre","auxiliar","servicios.tecnicos","profesional","directivo","total"
9904,9904,"fundacion tecnologica colombo germana","principal",2,"privada",3,"institucion tecnologica",11,"bogota d.c.",11001,"bogota d.c.",2014,1,8,0,22,7,37
2726,2726,"fundacion universitaria manuela beltran-umb","principal",2,"privada",3,"institucion universitaria/escuela tecnologica",11,"bogota d.c.",11001,"bogota d.c.",2014,1,0,0,0,0,0
2729,2729,"fundacion universitaria de boyaca","principal",2,"privada",3,"institucion universitaria/escuela tecnologica",15,"boyaca",15001,"tunja",2014,1,0,0,0,0,0
2801,2801,"corporacion universitaria autonoma de occidente","principal",2,"privada",3,"institucion universitaria/escuela tecnologica",76,"valle del cauca",76001,"cali",2014,1,0,0,0,0,0
2806,2806,"corporacion universitaria del sinu-cus","principal",2,"privada",3,"institucion universitaria/escuela tecnologica",13,"bolivar",13001,"cartagena",2014,1,0,0,0,0,0
2809,2809,"corporacion universitaria tecnologica de bolivar","principal",2,"privada",3,"institucion universitaria/escuela tecnologica",13,"bolivar",13001,"cartagena",2014,1,0,0,0,0,0
9129,9129,"fundacion universitaria cafam","principal",2,"privada",3,"institucion universitaria/escuela tecnologica",11,"bogota d.c.",11001,"bogota d.c.",2014,1,29,2,26,8,65
9128,9128,"lci - fundacion tecnologica","principal",2,"privada",3,"institucion tecnologica",11,"bogota d.c.",11001,"bogota d.c.",2014,1,21,30,9,10,70
9915,9915,"universitaria virtual internacional","principal",2,"privada",3,"institucion universitaria/escuela tecnologica",11,"bogota d.c.",11001,"bogota d.c.",2014,1,0,0,0,0,0
9913,9913,"corporacion universitaria de asturias","principal",2,"privada",3,"institucion universitaria/escuela tecnologica",11,"bogota d.c.",11001,"bogota d.c.",2014,1,0,0,0,0,0
9116,9116,"fundacion universitaria claretiana - fucla","principal",2,"privada",3,"institucion universitaria/escuela tecnologica",27,"choco",27001,"quibdo",2014,1,23,3,30,9,65
4804,4804,"corporacion educativa del oriente","principal",2,"privada",3,"institucion tecnica profesional",54,"norte de santander",54001,"cucuta",2014,1,0,0,0,0,0
2811,2811,"escuela colombiana de ingenieria julio garavito","principal",2,"privada",3,"institucion universitaria/escuela tecnologica",11,"bogota d.c.",11001,"bogota d.c.",2014,1,112,27,62,27,228
3712,3712,"fundacion centro de investigacion docencia y consultoria administrativa-f-cidca-","principal",2,"privada",3,"institucion tecnologica",11,"bogota d.c.",11001,"bogota d.c.",2014,1,58,21,41,7,127
1832,1832,"universidad tecnologica de bolivar","principal",2,"privada",3,"universidad",13,"bolivar",13001,"cartagena",2014,1,76,47,198,33,354
2849,2849,"corporacion universitaria autonoma del cauca","principal",2,"privada",3,"institucion universitaria/escuela tecnologica",19,"cauca",19001,"popayan",2014,1,10,27,13,13,63
1701,1701,"pontificia universidad javeriana","principal",2,"privada",3,"universidad",11,"bogota d.c.",11001,"bogota d.c.",2014,1,874,160,677,46,1757
1710,1710,"universidad pontificia bolivariana","principal",2,"privada",3,"universidad",5,"antioquia",5001,"medellin",2014,1,400,330,581,82,1393
2847,2847,"corporacion universitaria de investigacion y desarrollo - udi","principal",2,"privada",3,"institucion universitaria/escuela tecnologica",68,"santander",68001,"bucaramanga",2014,1,57,38,100,12,207
1718,1718,"universidad de san buenaventura","principal",2,"privada",3,"universidad",11,"bogota d.c.",11001,"bogota d.c.",2014,1,0,0,0,0,0
3705,3705,"fundacion universitaria tecnologico comfenalco - cartagena","principal",2,"privada",3,"institucion universitaria/escuela tecnologica",13,"bolivar",13001,"cartagena",2014,1,151,11,79,32,273
2704,2704,"colegio de estudios superiores de administracion-cesa-","principal",2,"privada",3,"institucion universitaria/escuela tecnologica",11,"bogota d.c.",11001,"bogota d.c.",2014,1,30,19,22,17,88
1815,1815,"corporacion universidad piloto de colombia","principal",2,"privada",3,"universidad",11,"bogota d.c.",11001,"bogota d.c.",2014,1,0,0,0,0,0
2837,2837,"corporacion universitaria republicana","principal",2,"privada",3,"institucion universitaria/escuela tecnologica",11,"bogota d.c.",11001,"bogota d.c.",2014,1,69,7,51,16,143
2805,2805,"universidad simon bolivar","principal",2,"privada",3,"universidad",8,"atlantico",8001,"barranquilla",2014,1,0,0,0,0,0
3833,3833,"corporacion tecnologico copacabana - teco -","principal",2,"privada",3,"institucion tecnologica",5,"antioquia",5212,"copacabana",2014,1,0,0,0,0,0
1835,1835,"universidad de ciencias aplicadas y ambientales udca.","principal",2,"privada",3,"universidad",11,"bogota d.c.",11001,"bogota d.c.",2014,1,110,73,89,35,307
1729,1729,"universidad el bosque","principal",2,"privada",3,"universidad",11,"bogota d.c.",11001,"bogota d.c.",2014,1,321,40,86,14,461
3820,3820,"corporacion academia tecnologica de colombia -atec-","principal",2,"privada",3,"institucion tecnologica",5,"antioquia",5001,"medellin",2014,1,0,0,0,0,0
2848,2848,"corporacion universitaria  unitec","principal",2,"privada",3,"institucion universitaria/escuela tecnologica",11,"bogota d.c.",11001,"bogota d.c.",2014,1,71,8,28,8,115
3713,3713,"fundacion universitaria para el desarrollo humano - uninpahu","principal",2,"privada",3,"institucion universitaria/escuela tecnologica",11,"bogota d.c.",11001,"bogota d.c.",2014,1,0,0,0,0,0
1722,1722,"universidad de manizales","principal",2,"privada",3,"universidad",17,"caldas",17001,"manizales",2014,1,79,21,66,12,178
3706,3706,"fundacion centro colombiano de estudios profesionales, -f.c.e.c.e.p.","principal",2,"privada",3,"institucion tecnologica",76,"valle del cauca",76001,"cali",2014,1,53,15,23,5,96
2840,2840,"corporacion universitaria empresarial alexander von humboldt - cue","principal",2,"privada",3,"institucion universitaria/escuela tecnologica",63,"quindio",63001,"armenia",2014,1,27,12,14,15,68
2747,2747,"fundacion universitaria autonoma de las americas","principal",2,"privada",3,"institucion universitaria/escuela tecnologica",5,"antioquia",5001,"medellin",2014,1,92,51,41,3,187
2739,2739,"fundacion de estudios superiores universitarios de uraba antonio roldan betancur","principal",2,"privada",3,"institucion universitaria/escuela tecnologica",5,"antioquia",5045,"apartado",2014,1,0,0,0,0,0
2727,2727,"fundacion universitaria-ceipa-","principal",2,"privada",3,"institucion universitaria/escuela tecnologica",5,"antioquia",5631,"sabaneta",2014,1,22,10,97,13,142
4809,4809,"corporacion centro tecnico arquitectonico","principal",2,"privada",3,"institucion tecnica profesional",66,"risaralda",66001,"pereira",2014,1,0,0,0,0,0
1831,1831,"universidad de ibague","principal",2,"privada",3,"universidad",73,"tolima",73001,"ibague",2014,1,127,122,122,52,423
3834,3834,"corporacion tecnologica catolica de occidente - tecoc -","principal",2,"privada",3,"institucion tecnologica",5,"antioquia",5042,"santafe de antioquia",2014,1,0,0,0,0,0
4719,4719,"fundacion de educacion superior nueva america","principal",2,"privada",3,"institucion tecnica profesional",11,"bogota d.c.",11001,"bogota d.c.",2014,1,4,4,7,2,17
1834,1833,"universidad del sinu - elias bechara zainum - unisinu -","seccional",2,"privada",3,"universidad",13,"bolivar",13001,"cartagena",2014,1,0,0,0,0,0
1833,1833,"universidad del sinu - elias bechara zainum - unisinu -","principal",2,"privada",3,"universidad",23,"cordoba",23001,"monteria",2014,1,140,18,485,18,661
2709,2709,"fundacion universitaria san martin","principal",2,"privada",3,"institucion universitaria/escuela tecnologica",11,"bogota d.c.",11001,"bogota d.c.",2014,1,189,118,285,142,734
2728,2728,"fundacion universitaria del area andina","principal",2,"privada",3,"institucion universitaria/escuela tecnologica",11,"bogota d.c.",11001,"bogota d.c.",2014,1,136,4,164,103,407
4832,4832,"corporacion instituto superior de educacion social-ises-","principal",2,"privada",3,"institucion tecnica profesional",11,"bogota d.c.",11001,"bogota d.c.",2014,1,0,0,0,0,0
2737,2728,"fundacion universitaria del area andina","seccional",2,"privada",3,"institucion universitaria/escuela tecnologica",66,"risaralda",66001,"pereira",2014,1,63,2,45,41,151
1804,1804,"universidad autonoma del caribe","principal",2,"privada",3,"universidad",8,"atlantico",8001,"barranquilla",2014,1,123,74,641,68,906
4826,4826,"corporacion universitaria regional del caribe -iafic-","principal",2,"privada",3,"institucion universitaria/escuela tecnologica",13,"bolivar",13001,"cartagena",2014,1,0,0,0,0,0
3832,3832,"corporacion tecnologica  superior siglo  xxi","principal",2,"privada",3,"institucion tecnologica",23,"cordoba",23162,"cerete",2014,1,0,0,0,0,0
1733,1728,"universidad sergio arboleda","seccional",2,"privada",3,"universidad",47,"magdalena",47001,"santa marta",2014,1,0,0,0,0,0
1828,1828,"universidad icesi","principal",2,"privada",3,"universidad",76,"valle del cauca",76001,"cali",2014,1,82,51,190,75,398
2745,2745,"unipanamericana - fundacion universitaria panamericana","principal",2,"privada",3,"institucion universitaria/escuela tecnologica",11,"bogota d.c.",11001,"bogota d.c.",2014,1,82,28,105,12,227
2725,2725,"politecnico grancolombiano","principal",2,"privada",3,"institucion universitaria/escuela tecnologica",11,"bogota d.c.",11001,"bogota d.c.",2014,1,27,209,246,37,519
4838,4838,"corporacion bolivariana de educacion superior - corbes -","principal",2,"privada",3,"institucion tecnica profesional",54,"norte de santander",54001,"cucuta",2014,1,0,0,0,0,0
