"codigo.del..municipio..ies.","codigo.del..departamento..ies.","id.caracter.ies","ies.padre","codigo.de..la.institucion","institucion.de.educacion.superior..ies.","principal..o.seccional","id.sector.ies","sector.ies","caracter.ies","departamento.de..domicilio.de.la.ies","municipio.de.domicilio.de.la.ies","ano","semestre","auxiliar","servicios.tecnicos","profesional","directivo","total"
5001,5,3,3302,3302,"instituto tecnologico metropolitano","principal",1,"oficial","institucion universitaria/escuela tecnologica","antioquia","medellin",2016,1,56,15,76,1,148
5001,5,3,3703,3703,"fundacion escuela colombiana de mercadotecnia -escolme-","principal",2,"privada","institucion universitaria/escuela tecnologica","antioquia","medellin",2019,2,4,21,28,4,57
5001,5,2,4801,4801,"corporacion academia superior de artes","principal",2,"privada","institucion tecnologica","antioquia","medellin",2021,1,6,4,10,9,29
5001,5,3,2838,2838,"corporacion colegiatura colombiana","principal",2,"privada","institucion universitaria/escuela tecnologica","antioquia","medellin",2016,2,16,23,63,5,107
5001,5,3,3107,3107,"institucion universitaria pascual bravo","principal",1,"oficial","institucion universitaria/escuela tecnologica","antioquia","medellin",2019,1,3,0,0,1,4
5001,5,3,3107,3107,"institucion universitaria pascual bravo","principal",1,"oficial","institucion universitaria/escuela tecnologica","antioquia","medellin",2018,1,40,4,10,12,66
5001,5,3,3720,3720,"fundacion universitaria esumer","principal",2,"privada","institucion universitaria/escuela tecnologica","antioquia","medellin",2014,1,22,60,67,17,166
5001,5,2,4801,4801,"corporacion academia superior de artes","principal",2,"privada","institucion tecnologica","antioquia","medellin",2019,2,1,1,1,1,4
5001,5,3,3302,3302,"instituto tecnologico metropolitano","principal",1,"oficial","institucion universitaria/escuela tecnologica","antioquia","medellin",2021,2,56,15,80,53,204
5001,5,4,1201,1201,"universidad de antioquia","principal",1,"oficial","universidad","antioquia","medellin",2017,1,8,1,10,3,22
5001,5,3,3302,3302,"instituto tecnologico metropolitano","principal",1,"oficial","institucion universitaria/escuela tecnologica","antioquia","medellin",2018,2,56,15,80,54,205
5001,5,4,2708,2708,"universidad ces","principal",2,"privada","universidad","antioquia","medellin",2016,1,181,38,166,14,399
5001,5,3,2110,2110,"colegio mayor de antioquia","principal",1,"oficial","institucion universitaria/escuela tecnologica","antioquia","medellin",2014,1,24,0,7,4,35
5001,5,2,4801,4801,"corporacion academia superior de artes","principal",2,"privada","institucion tecnologica","antioquia","medellin",2017,2,0,1,1,1,3
5001,5,2,4801,4801,"corporacion academia superior de artes","principal",2,"privada","institucion tecnologica","antioquia","medellin",2019,1,0,1,1,1,3
5001,5,4,1201,1201,"universidad de antioquia","principal",1,"oficial","universidad","antioquia","medellin",2019,1,1,0,8,1,10
5001,5,3,1712,1712,"universidad eafit-","principal",2,"privada","institucion universitaria/escuela tecnologica","antioquia","medellin",2014,1,384,45,467,19,915
5001,5,3,2749,2749,"institucion universitaria  salazar y herrera","principal",2,"privada","institucion universitaria/escuela tecnologica","antioquia","medellin",2019,1,27,9,36,8,80
5001,5,4,1201,1201,"universidad de antioquia","principal",1,"oficial","universidad","antioquia","medellin",2019,1,9,3,24,5,41
5001,5,3,9900,9900,"corporacion universitaria u de colombia","principal",2,"privada","institucion universitaria/escuela tecnologica","antioquia","medellin",2014,1,3,0,1,4,8
5001,5,3,9900,9900,"corporacion universitaria u de colombia","principal",2,"privada","institucion universitaria/escuela tecnologica","antioquia","medellin",2020,2,7,7,10,2,26
5001,5,4,1201,1201,"universidad de antioquia","principal",1,"oficial","universidad","antioquia","medellin",2019,2,1,0,0,1,2
5001,5,3,2833,2833,"corporacion universitaria remington","principal",2,"privada","institucion universitaria/escuela tecnologica","antioquia","medellin",2021,1,151,17,133,126,427
5001,5,4,2719,2719,"universidad catolica luis amigo-funlam","principal",2,"privada","universidad","antioquia","medellin",2016,1,95,53,64,49,261
5001,5,3,9120,9120,"fundacion universitaria bellas artes","principal",2,"privada","institucion universitaria/escuela tecnologica","antioquia","medellin",2016,1,7,2,14,9,32
5001,5,3,2708,2708,"universidad ces","principal",2,"privada","institucion universitaria/escuela tecnologica","antioquia","medellin",2014,2,170,41,136,15,362
5001,5,4,1718,1717,"universidad de san buenaventura","seccional",2,"privada","universidad","antioquia","medellin",2018,2,131,12,76,25,244
5001,5,3,2833,2833,"corporacion universitaria remington","principal",2,"privada","institucion universitaria/escuela tecnologica","antioquia","medellin",2020,2,140,17,121,70,348
5001,5,2,4801,4801,"corporacion academia superior de artes","principal",2,"privada","institucion tecnologica","antioquia","medellin",2019,1,1,0,1,1,3
5001,5,3,2833,2833,"corporacion universitaria remington","principal",2,"privada","institucion universitaria/escuela tecnologica","antioquia","medellin",2014,2,120,23,61,56,260
5001,5,3,3107,3107,"institucion universitaria pascual bravo","principal",1,"oficial","institucion universitaria/escuela tecnologica","antioquia","medellin",2019,1,5,1,1,0,7
5001,5,3,9120,9120,"fundacion universitaria bellas artes","principal",2,"privada","institucion universitaria/escuela tecnologica","antioquia","medellin",2014,1,7,2,20,4,33
