;;;;;;;;;;;;;;;;;;
PERSONAL ADMINISTRATIVO EN INSTITUCIONES DE EDUCACIÓN SUPERIOR - COLOMBIA 2018;;;;;;;;;;;;;;;;;;
Fecha de corte de la información: Junio de 2019;;;;;;;;;;;;;;;;;;
Fuente: Ministerio de Educación Nacional - Sistema Nacional de Información de la Educación Superior - SNIES;;;;;;;;;;;;;;;;;;
La información suministrada corresponde a lo reportado por las Instituciones de Educación Superior a través del SNIES;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
"Código de 
la Institución";IES PADRE;Institución de Educación Superior (IES);"Principal
 o 
Seccional";ID Sector IES;Sector IES;ID Caracter IES;Caracter IES;"Código del 
departamento
(IES)";"Departamento de 
domicilio de la IES";"Código del 
Municipio
(IES)";"Municipio de
domicilio de la IES";Año;Semestre;Auxiliar;Tecnico;Profesional;Directivo;Total
1733;1728;UNIVERSIDAD SERGIO ARBOLEDA;SECCIONAL;2;PRIVADA;4;Universidad;47;MAGDALENA;47001;SANTA MARTA;2018;2;47;81;67;25;220
1734;1734;UNIVERSIDAD DE BOYACA UNIBOYACA;PRINCIPAL;2;PRIVADA;4;Universidad;15;BOYACA;15001;TUNJA;2018;1;87;5;60;20;172
1734;1734;UNIVERSIDAD DE BOYACA UNIBOYACA;PRINCIPAL;2;PRIVADA;4;Universidad;15;BOYACA;15001;TUNJA;2018;2;91;5;59;18;173
1735;1735;UNIVERSIDAD MANUELA BELTRAN-UMB-;PRINCIPAL;2;PRIVADA;4;Universidad;11;BOGOTA D.C;11001;BOGOTA D.C.;2018;1;159;36;703;36;934
1735;1735;UNIVERSIDAD MANUELA BELTRAN-UMB-;PRINCIPAL;2;PRIVADA;4;Universidad;11;BOGOTA D.C;11001;BOGOTA D.C.;2018;2;218;10;670;37;935
1801;1801;UNIVERSIDAD LA GRAN COLOMBIA;PRINCIPAL;2;PRIVADA;4;Universidad;11;BOGOTA D.C;11001;BOGOTA D.C.;2018;1;86;270;111;46;513
1801;1801;UNIVERSIDAD LA GRAN COLOMBIA;PRINCIPAL;2;PRIVADA;4;Universidad;11;BOGOTA D.C;11001;BOGOTA D.C.;2018;2;272;52;108;47;479
1802;1801;UNIVERSIDAD LA GRAN COLOMBIA;SECCIONAL;2;PRIVADA;4;Universidad;63;QUINDIO;63001;ARMENIA;2018;1;69;8;32;18;127
1802;1801;UNIVERSIDAD LA GRAN COLOMBIA;SECCIONAL;2;PRIVADA;4;Universidad;63;QUINDIO;63001;ARMENIA;2018;2;67;6;33;16;122
1803;1803;UNIVERSIDAD DE LA SALLE;PRINCIPAL;2;PRIVADA;4;Universidad;11;BOGOTA D.C;11001;BOGOTA D.C.;2018;1;271;196;282;82;831
1805;1805;UNIVERSIDAD SANTIAGO DE CALI;PRINCIPAL;2;PRIVADA;4;Universidad;76;VALLE DEL CAUCA;76001;CALI;2018;1;196;104;102;37;439
