;;;;;;;;;;;;;;;;;;
PERSONAL ADMINISTRATIVO EN INSTITUCIONES DE EDUCACIÓN SUPERIOR - COLOMBIA 2019;;;;;;;;;;;;;;;;;;
Fecha de corte de la información: Junio de 2019;;;;;;;;;;;;;;;;;;
Fuente: Ministerio de Educación Nacional - Sistema Nacional de Información de la Educación Superior - SNIES;;;;;;;;;;;;;;;;;;
La información suministrada corresponde a lo reportado por las Instituciones de Educación Superior a través del SNIES;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
"Código de 
la Institución";IES PADRE;Institución de Educación Superior (IES);"Principal
 o 
Seccional";ID Sector IES;Sector IES;ID Caracter IES;Caracter IES;"Código del 
departamento
(IES)";"Departamento de 
domicilio de la IES";"Código del 
Municipio
(IES)";"Municipio de
domicilio de la IES";Año;Semestre;Auxiliar;Técnico;Profesional;Directivo;Total
4813;4813;CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-;PRINCIPAL;2;PRIVADA;1;INSTITUCIÓN TÉCNICA PROFESIONAL;11;BOGOTÁ D.C.;11001;BOGOTÁ, D.C.;2019;1;11;9;4;1;25
2301;2301;UNIDAD CENTRAL DEL VALLE DEL CAUCA;PRINCIPAL;1;OFICIAL;3;INSTITUCIÓN UNIVERSITARIA/ESCUELA TECNOLÓGICA;76;VALLE DEL CAUCA;76834;TULUÁ;2019;1;2;0;1;0;3
2301;2301;UNIDAD CENTRAL DEL VALLE DEL CAUCA;PRINCIPAL;1;OFICIAL;3;INSTITUCIÓN UNIVERSITARIA/ESCUELA TECNOLÓGICA;76;VALLE DEL CAUCA;76834;TULUÁ;2019;1;5;0;1;0;6
2301;2301;UNIDAD CENTRAL DEL VALLE DEL CAUCA;PRINCIPAL;1;OFICIAL;3;INSTITUCIÓN UNIVERSITARIA/ESCUELA TECNOLÓGICA;76;VALLE DEL CAUCA;76834;TULUÁ;2019;1;1;0;0;1;2
2301;2301;UNIDAD CENTRAL DEL VALLE DEL CAUCA;PRINCIPAL;1;OFICIAL;3;INSTITUCIÓN UNIVERSITARIA/ESCUELA TECNOLÓGICA;76;VALLE DEL CAUCA;76834;TULUÁ;2019;1;1;0;0;1;2
2301;2301;UNIDAD CENTRAL DEL VALLE DEL CAUCA;PRINCIPAL;1;OFICIAL;3;INSTITUCIÓN UNIVERSITARIA/ESCUELA TECNOLÓGICA;76;VALLE DEL CAUCA;76834;TULUÁ;2019;1;1;0;0;1;2
2728;2728;FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRINCIPAL;2;PRIVADA;3;INSTITUCIÓN UNIVERSITARIA/ESCUELA TECNOLÓGICA;11;BOGOTÁ D.C.;11001;BOGOTÁ, D.C.;2019;1;113;102;243;105;563
2744;2744;UNIVERSIDAD CESMAG - UNICESMAG;PRINCIPAL;2;PRIVADA;4;UNIVERSIDAD;52;NARIÑO;52001;PASTO;2019;1;109;31;40;18;198
1723;1710;UNIVERSIDAD PONTIFICIA BOLIVARIANA;SECCIONAL;2;PRIVADA;4;UNIVERSIDAD;68;SANTANDER;68001;BUCARAMANGA;2019;1;126;62;85;9;282
9127;9127;CORPORACION UNIVERSITARIA DE SABANETA - UNISABANETA;PRINCIPAL;2;PRIVADA;3;INSTITUCIÓN UNIVERSITARIA/ESCUELA TECNOLÓGICA;5;ANTIOQUIA;5631;SABANETA;2019;1;7;11;19;11;48
1730;1710;UNIVERSIDAD PONTIFICIA BOLIVARIANA;SECCIONAL;2;PRIVADA;4;UNIVERSIDAD;76;VALLE DEL CAUCA;76520;PALMIRA;2019;1;9;20;25;5;59
2743;2743;FUNDACION UNIVERSITARIA INTERNACIONAL DEL TROPICO AMERICANO;PRINCIPAL;2;PRIVADA;3;INSTITUCIÓN UNIVERSITARIA/ESCUELA TECNOLÓGICA;85;CASANARE;85001;YOPAL;2019;1;10;0;1;1;12
2743;2743;FUNDACION UNIVERSITARIA INTERNACIONAL DEL TROPICO AMERICANO;PRINCIPAL;2;PRIVADA;3;INSTITUCIÓN UNIVERSITARIA/ESCUELA TECNOLÓGICA;85;CASANARE;85001;YOPAL;2019;1;2;1;1;0;4
2743;2743;FUNDACION UNIVERSITARIA INTERNACIONAL DEL TROPICO AMERICANO;PRINCIPAL;2;PRIVADA;3;INSTITUCIÓN UNIVERSITARIA/ESCUELA TECNOLÓGICA;85;CASANARE;85001;YOPAL;2019;1;2;0;1;0;3
2743;2743;FUNDACION UNIVERSITARIA INTERNACIONAL DEL TROPICO AMERICANO;PRINCIPAL;2;PRIVADA;3;INSTITUCIÓN UNIVERSITARIA/ESCUELA TECNOLÓGICA;85;CASANARE;85001;YOPAL;2019;1;0;0;1;0;1
2723;2723;FUNDACION UNIVERSITARIA AGRARIA DE COLOMBIA -UNIAGRARIA-;PRINCIPAL;2;PRIVADA;3;INSTITUCIÓN UNIVERSITARIA/ESCUELA TECNOLÓGICA;11;BOGOTÁ D.C.;11001;BOGOTÁ, D.C.;2019;1;1;0;1;1;3
3801;3801;CORPORACION DE ESTUDIOS TECNOLOGICOS DEL NORTE DEL VALLE;PRINCIPAL;2;PRIVADA;2;INSTITUCIÓN TECNOLÓGICA;76;VALLE DEL CAUCA;76147;CARTAGO;2019;2;0;0;0;1;1
3801;3801;CORPORACION DE ESTUDIOS TECNOLOGICOS DEL NORTE DEL VALLE;PRINCIPAL;2;PRIVADA;2;INSTITUCIÓN TECNOLÓGICA;76;VALLE DEL CAUCA;76147;CARTAGO;2019;2;0;0;0;1;1
3801;3801;CORPORACION DE ESTUDIOS TECNOLOGICOS DEL NORTE DEL VALLE;PRINCIPAL;2;PRIVADA;2;INSTITUCIÓN TECNOLÓGICA;76;VALLE DEL CAUCA;76147;CARTAGO;2019;2;1;0;2;1;4
1830;1830;UNIVERSIDAD AUTONOMA DE OCCIDENTE;PRINCIPAL;2;PRIVADA;4;UNIVERSIDAD;76;VALLE DEL CAUCA;76001;CALI;2019;2;0;6;18;1;25
2841;2829;CORPORACION UNIVERSITARIA MINUTO DE DIOS -UNIMINUTO-;SECCIONAL;2;PRIVADA;3;INSTITUCIÓN UNIVERSITARIA/ESCUELA TECNOLÓGICA;5;ANTIOQUIA;5088;BELLO;2019;2;70;48;170;10;298
1717;1718;UNIVERSIDAD DE SAN BUENAVENTURA;SECCIONAL;2;PRIVADA;4;UNIVERSIDAD;5;ANTIOQUIA;5001;MEDELLÍN;2019;2;108;6;66;31;211
9103;9103;ESCUELA MILITAR DE AVIACION MARCO FIDEL SUAREZ;PRINCIPAL;1;OFICIAL;3;INSTITUCIÓN UNIVERSITARIA/ESCUELA TECNOLÓGICA;76;VALLE DEL CAUCA;76001;CALI;2019;2;19;4;41;8;72
2832;2832;UNIVERSIDAD DE SANTANDER - UDES;PRINCIPAL;2;PRIVADA;4;UNIVERSIDAD;68;SANTANDER;68001;BUCARAMANGA;2019;2;1;0;1;1;3
2832;2832;UNIVERSIDAD DE SANTANDER - UDES;PRINCIPAL;2;PRIVADA;4;UNIVERSIDAD;68;SANTANDER;68001;BUCARAMANGA;2019;2;2;0;1;0;3
2832;2832;UNIVERSIDAD DE SANTANDER - UDES;PRINCIPAL;2;PRIVADA;4;UNIVERSIDAD;68;SANTANDER;68001;BUCARAMANGA;2019;2;1;0;1;1;3
2832;2832;UNIVERSIDAD DE SANTANDER - UDES;PRINCIPAL;2;PRIVADA;4;UNIVERSIDAD;68;SANTANDER;68001;BUCARAMANGA;2019;2;1;0;1;1;3
2832;2832;UNIVERSIDAD DE SANTANDER - UDES;PRINCIPAL;2;PRIVADA;4;UNIVERSIDAD;68;SANTANDER;68001;BUCARAMANGA;2019;2;1;0;1;1;3
2832;2832;UNIVERSIDAD DE SANTANDER - UDES;PRINCIPAL;2;PRIVADA;4;UNIVERSIDAD;68;SANTANDER;68001;BUCARAMANGA;2019;2;3;0;4;1;8
2832;2832;UNIVERSIDAD DE SANTANDER - UDES;PRINCIPAL;2;PRIVADA;4;UNIVERSIDAD;68;SANTANDER;68001;BUCARAMANGA;2019;2;1;0;1;1;3
2832;2832;UNIVERSIDAD DE SANTANDER - UDES;PRINCIPAL;2;PRIVADA;4;UNIVERSIDAD;68;SANTANDER;68001;BUCARAMANGA;2019;2;1;0;1;1;3
2832;2832;UNIVERSIDAD DE SANTANDER - UDES;PRINCIPAL;2;PRIVADA;4;UNIVERSIDAD;68;SANTANDER;68001;BUCARAMANGA;2019;2;1;0;1;1;3
2832;2832;UNIVERSIDAD DE SANTANDER - UDES;PRINCIPAL;2;PRIVADA;4;UNIVERSIDAD;68;SANTANDER;68001;BUCARAMANGA;2019;2;1;0;1;1;3
2832;2832;UNIVERSIDAD DE SANTANDER - UDES;PRINCIPAL;2;PRIVADA;4;UNIVERSIDAD;68;SANTANDER;68001;BUCARAMANGA;2019;2;1;0;1;1;3
2832;2832;UNIVERSIDAD DE SANTANDER - UDES;PRINCIPAL;2;PRIVADA;4;UNIVERSIDAD;68;SANTANDER;68001;BUCARAMANGA;2019;2;1;0;1;1;3
2832;2832;UNIVERSIDAD DE SANTANDER - UDES;PRINCIPAL;2;PRIVADA;4;UNIVERSIDAD;68;SANTANDER;68001;BUCARAMANGA;2019;2;1;0;1;1;3
3807;3807;ESCUELA DE TECNOLOGIAS DE ANTIOQUIA -ETA-;PRINCIPAL;2;PRIVADA;2;INSTITUCIÓN TECNOLÓGICA;5;ANTIOQUIA;5001;MEDELLÍN;2019;2;0;1;0;1;2
1204;1204;UNIVERSIDAD INDUSTRIAL DE SANTANDER;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;68;SANTANDER;68001;BUCARAMANGA;2019;2;496;154;519;99;1268
1806;1806;UNIVERSIDAD LIBRE;PRINCIPAL;2;PRIVADA;4;UNIVERSIDAD;11;BOGOTÁ D.C.;11001;BOGOTÁ, D.C.;2019;2;1;2;0;1;4
1806;1806;UNIVERSIDAD LIBRE;PRINCIPAL;2;PRIVADA;4;UNIVERSIDAD;11;BOGOTÁ D.C.;11001;BOGOTÁ, D.C.;2019;2;1;2;3;3;9
1806;1806;UNIVERSIDAD LIBRE;PRINCIPAL;2;PRIVADA;4;UNIVERSIDAD;11;BOGOTÁ D.C.;11001;BOGOTÁ, D.C.;2019;2;0;9;3;0;12
